from,to,mileage,fleet
AL,FL,591.5,
AL,GA,182,
AL,MS,207.5,
AL,TN,216,
AR,LA,532.5,
AR,MO,560.5,
AR,MS,362.5,
AR,OK,333,
AR,TN,418,
AR,TX,473.5,
AZ,CA,493,
AZ,CO,979.5,
AZ,NM,517.5,
AZ,NV,592,
AZ,UT,962,
CA,NV,303,
CA,OR,862,
CO,KS,529,
CO,NE,447.5,
CO,NM,489.5,
CO,OK,712,
CO,UT,627,
CO,WY,303,
CT,MA,109.5,
CT,NY,157.5,
CT,RI,125.5,
DE,MD,78.5,
DE,NJ,102.5,
DE,PA,123.5,
FL,GA,441.5,
GA,NC,427,
GA,SC,269.5,
GA,TN,261,
IA,IL,296.5,
IA,MN,231,
IA,MO,332,
IA,NE,372,
IA,SD,446.5,
IA,WI,375,
ID,MT,482.5,
ID,NV,716,
ID,OR,596,
ID,UT,301.5,
ID,WA,620.5,
ID,WY,868,
IL,IN,191,
IL,KY,408.5,
IL,MO,338,
IL,WI,239,
IN,KY,182,
IN,MI,299,
IN,OH,271.5,
KS,MO,249.5,
KS,NE,338.5,
KS,OK,277.5,
KY,MO,429.5,
KY,OH,268,
KY,TN,243,
KY,VA,611,
KY,WV,395,
LA,MS,200.5,
LA,TX,517,
MA,NH,74.5,
MA,NY,251.5,
MA,RI,62,
MA,VT,224,
MD,PA,98,
MD,VA,131.5,
MD,WV,314,
ME,NH,160.5,
MI,OH,256.5,
MI,WI,408,
MN,ND,381,
MN,SD,322,
MN,WI,248,
MO,NE,457,
MO,OK,503.5,
MO,TN,494,
MS,TN,439,
MT,ND,780.5,
MT,SD,925,
MT,WY,547,
NC,SC,209.5,
NC,TN,541,
NC,VA,225.5,
ND,SD,373.5,
NE,SD,392,
NE,WY,541.5,
NH,VT,101,
NJ,NY,123,
NJ,PA,162.5,
NM,OK,691,
NM,TX,799,
NM,UT,1127,
NV,OR,1170.5,
NV,UT,413.5,
NY,PA,222,
NY,VT,364.5,
OH,PA,408.5,
OH,WV,348.5,
OK,TX,375.5,
OR,WA,219,
PA,WV,401,
SD,WY,606.5,
TN,VA,643.5,
UT,WY,706,
VA,WV,455.5,
